,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score
0,CLIG.L,380.0000,5.3153,0.2590,Financial Services,Buy,4.1319,3.1634,0.0089,90.9799,NaN,-0.0792,3.0000
1,SLP.L,90.0000,4.7958,0.3180,Basic Materials,Buy,7.4642,1.0144,0.0114,19.7296,0.9080,-4.7426,3.5000
2,PTAL.L,20.7500,6.5340,0.5810,Energy,Buy,2.3645,3.1096,0.0241,61.0249,NaN,-0.9494,2.0000
3,TAL.TO,0.3850,6.5340,0.5810,Energy,Buy,2.3645,3.1096,1.2978,61.0249,NaN,-0.9311,2.0000
4,M12.DE,17.9600,6.0671,1.0190,Healthcare,Buy,2.0624,0.0000,0.5271,11.5760,2.6325,-0.4742,3.5000
5,PRU.TO,4.8600,5.2722,1.1330,Basic Materials,Buy,4.5901,0.5285,0.4718,56.4923,2.5750,-0.0629,5.0000
6,CAPD.L,112.6490,3.8713,0.5870,Basic Materials,Neutral,2.2398,1.1129,0.0140,42.5607,NaN,-0.5013,3.5000
7,PAG.L,812.0000,3.6734,1.2850,Financial Services,Buy,0.1340,3.6797,0.0109,127.3458,NaN,-3.5818,3.5000
8,FRES.L,2794.0000,9.2505,0.4990,Basic Materials,Neutral,5.0916,3.4385,0.0028,34.2943,0.7329,-0.6073,2.0000
9,RAVE,3.1000,18.3434,0.3320,Consumer Cyclical,Buy,7.5728,0.0000,0.3331,54.5892,1.6413,-0.7138,1.0000
10,DAC,95.2500,3.1466,1.1560,Industrials,Strong Buy,4.6164,1.0039,1.8937,59.1160,1.9146,-0.7441,2.0000
11,THS.L,92.0000,8.5252,0.8570,Basic Materials,Buy,1.6646,3.5582,0.0121,21.3287,NaN,-1.4303,2.5000
12,RFX.L,355.0000,3.9982,0.3840,Industrials,Strong Buy,3.9996,5.0565,0.0064,51.9427,2.3985,-0.5015,2.0000
13,DR0.DE,45.5000,15.8759,0.2990,Energy,Buy,1.8187,5.1746,0.5183,41.2269,NaN,-1.0756,2.5000
14,MPE.L,1270.0000,4.1845,0.2850,Consumer Defensive,Strong Buy,3.4271,3.2432,0.0116,32.9133,NaN,-0.7770,1.0000
15,GSL-PB,27.3000,2.4544,0.9580,Industrials,Strong Buy,2.0085,2.2570,1.9320,54.4711,1.3374,0.1443,4.5000
16,GSL,35.7150,2.4544,0.9580,Industrials,Strong Buy,2.0085,2.2570,1.4768,54.4711,1.3374,0.1443,4.5000
17,CFX.L,941.3360,3.6869,0.0890,Consumer Cyclical,Buy,2.2056,0.3436,0.0089,56.7543,NaN,-0.6156,2.5000
18,AEP.L,1325.0000,2.4488,0.1180,Basic Materials,Strong Buy,6.2401,0.0000,0.0152,24.3555,2.1568,1.4898,2.5000
19,SEIC,81.7450,15.9024,0.9820,Financial Services,Buy,5.7270,0.5966,0.2960,74.0852,1.0276,-0.4227,2.5000
20,DLNG,3.8150,1.7184,0.7230,Energy,Buy,0.0000,2.9707,3.1577,58.5967,NaN,-0.7439,2.0000
21,DLNG-PA,26.4600,1.7184,0.7232,Energy,Neutral,0.0000,2.9707,0.4553,58.5967,NaN,-0.7439,2.0000
22,MPCK.DE,5.0400,4.3388,0.3160,Financial Services,Buy,4.8519,10.9959,0.9581,62.5646,2.2378,-4.4691,1.5000
23,GFM.L,234.9600,11.8171,0.1680,Basic Materials,Buy,1.7957,0.0000,0.0059,33.2910,1.9155,0.0311,0.0000
24,DPM.TO,39.3300,8.1017,1.0250,Basic Materials,Buy,8.2770,0.2534,0.2337,47.5284,0.7043,-0.5269,4.5000
25,CDFF.L,2700.0000,11.2534,-0.1810,Real Estate,Buy,18.2922,0.6538,0.0072,136.8784,1.2111,-0.1995,3.0000
26,ITRN,42.5200,12.1276,0.7140,Technology,Strong Buy,2.2481,1.5658,0.3125,49.4929,1.9922,-0.5977,2.5000
27,ENVA,139.7850,8.9401,1.3160,Financial Services,Neutral,0.2119,0.0000,0.4366,34.8419,NaN,-1.4321,4.5000
28,STNG,53.7600,7.7319,-0.3130,Energy,Buy,4.8060,0.7813,0.9648,47.4623,NaN,-0.3193,3.0000
29,SFE.DE,70.8300,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,0.7642,59.1497,NaN,inf,2.5000
30,0N0B.L,104.8000,2.2767,1.0250,Industrials,Buy,0.9398,15.1419,0.1206,88.6284,NaN,NaN,4.5000
31,ANP.L,501.0000,6.7698,0.8800,Consumer Defensive,Buy,4.3224,0.0000,0.0055,47.1125,1.3314,-0.6454,2.5000
32,GASS,6.7700,4.4238,0.2180,Industrials,Strong Buy,5.0209,0.0000,1.8476,40.7667,2.7924,-0.5528,2.5000
33,SNX.L,296.2200,5.3477,0.5640,Industrials,Strong Buy,1.9971,0.7631,0.0101,41.6682,2.5204,-0.5662,5.5000
34,SYF-PB,25.8700,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,2.0923,59.1497,NaN,inf,2.5000
35,SYF-PA,19.0500,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,2.8413,59.1497,NaN,inf,2.5000
36,SYF,82.7400,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,0.6542,59.1497,NaN,inf,2.5000
37,0LC3.L,82.5011,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,0.6561,59.1497,NaN,inf,2.5000
38,TRT.L,125.0000,7.3267,-0.0550,Consumer Cyclical,Neutral,3.4150,0.0000,0.0059,86.7904,NaN,0.3539,3.0000
39,0QQF.L,20.7500,3.7318,0.5380,Industrials,Strong Buy,1.8294,3.0490,0.8934,45.1419,1.8111,-0.4181,6.0000
40,FINV,5.2750,0.7399,0.4350,Financial Services,Strong Buy,4.1357,0.0000,2.2953,80.1294,NaN,-0.2671,3.5000
41,STRT,78.5496,7.8962,1.1830,Consumer Cyclical,Buy,2.4902,0.0000,0.6605,15.8067,1.1299,-0.6366,2.0000
42,SDR.L,386.2000,10.4577,1.0890,Financial Services,Neutral,6.4172,3.8773,0.0058,77.0564,1.7498,-0.5519,2.5000
43,RRBI,72.9800,9.9274,0.5170,Financial Services,Buy,419.3537,0.2314,0.6051,53.3581,1.6875,-0.6771,1.0000
44,0JSU.L,81.0000,3.3890,0.1660,Consumer Defensive,Buy,1.8228,2.2013,1.3022,37.5603,2.4432,-0.5515,2.5000
45,AEM.TO,224.9800,20.2842,0.6290,Basic Materials,Buy,2.1200,0.2177,0.2078,53.0128,1.5460,-0.7239,3.0000
46,0LJL.L,221.4800,8.8193,1.2740,Healthcare,Buy,1.0313,0.2957,0.5465,90.3268,1.2256,-0.7289,2.5000
