,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat
0,ENVA,162.3600,8.9401,1.2710,Financial Services,Neutral,21.7540,0.0000,0.3759,46.4827,NaN,-1.3643,4.0000,0.045487286167153675
1,SLP.L,110.9025,4.7958,0.3180,Basic Materials,Buy,7.4642,1.0144,0.0093,19.7296,0.7132,-4.7426,3.5000,0.6584597712559337
2,GSL,34.5600,2.4544,0.9580,Industrials,Strong Buy,2.0085,2.2570,1.5261,54.4711,1.4086,0.1443,4.5000,0.3036361770463684
3,GSL-PB,26.2800,2.4544,0.9580,Industrials,Strong Buy,2.0085,2.2570,2.0070,54.4711,1.4086,0.1443,4.5000,0.3036361770463684
4,CFX.L,980.0000,3.6869,0.0890,Consumer Cyclical,Buy,2.2056,0.3436,0.0085,56.7543,NaN,-0.6156,2.5000,0.24290897698195904
5,CAPD.L,117.0000,3.8713,0.5870,Basic Materials,Neutral,2.2398,1.1129,0.0134,42.5607,NaN,-0.5013,3.5000,0.17446417652413665
6,SYF,86.7400,6.1963,1.4250,Financial Services,Buy,18.9307,0.7155,0.6240,59.1497,NaN,inf,2.5000,-0.10010979803444162
7,SYF-PA,19.8000,6.1963,1.4510,Financial Services,Buy,18.9307,0.7155,2.7337,59.1497,NaN,inf,2.5000,-0.10875245605533312
8,RFX.L,391.0000,3.9982,0.4230,Industrials,Strong Buy,3.9996,5.0565,0.0058,51.9427,2.1345,-0.5015,2.0000,0.4019867675484546
9,AEP.L,1412.0000,2.4488,0.1380,Basic Materials,Strong Buy,6.2401,0.0000,0.0143,24.3555,2.0787,1.4898,2.5000,0.25954188211246687
10,PRU.TO,5.3400,5.2722,1.1330,Basic Materials,Buy,4.5901,0.5285,0.4294,56.4923,2.3680,-0.0629,5.0000,-0.5772053250424806
11,MPE.L,1233.8290,4.1845,0.2700,Consumer Defensive,Strong Buy,3.4271,3.2432,0.0120,32.9133,NaN,-0.7770,1.0000,-0.15402712934804516
12,HSM.L,340.0000,3.9160,-0.2230,Industrials,Buy,5.4470,2.5560,0.0143,46.8283,1.1191,-0.1882,3.0000,0.5790426059716871
13,CDFF.L,2700.0000,8.7433,-0.1810,Real Estate,Buy,0.0000,0.2859,0.0083,131.5773,NaN,0.0426,2.5000,0.7059842673756249
14,RRBI,72.4100,9.9274,0.5200,Financial Services,Buy,419.3537,0.2314,0.6098,53.3581,1.6852,-0.6771,1.0000,0.4760174053663931
15,M12.DE,18.4000,6.0671,1.0370,Healthcare,Buy,2.0624,0.0000,0.5145,11.5760,2.5921,-0.4742,3.5000,-0.5772053250424806
16,0HQ7.L,54.5600,14.1217,1.0310,Consumer Cyclical,Buy,2.2055,0.6387,0.2731,48.6670,1.6690,-0.6000,3.0000,0.7059842673756249
17,BKE,54.1000,14.1217,1.0350,Consumer Cyclical,Buy,2.2055,0.6387,0.2755,48.6670,1.6690,-0.6000,3.0000,0.7059842673756249
18,NEXN,6.1400,15.8429,1.5240,Communication Services,Buy,1.2523,0.0000,0.5965,75.9088,NaN,-0.6178,2.0000,0.7059842673756249
19,GFM.L,268.0000,11.8171,0.2090,Basic Materials,Buy,1.7957,0.0000,0.0052,33.2910,1.7085,0.0311,0.0000,0.4390801189078231
20,0QQF.L,20.6500,3.7318,0.5380,Industrials,Strong Buy,1.8294,3.0490,0.8978,45.1419,1.8431,-0.4181,6.0000,-0.5772053250424806
21,DORO.ST,40.0500,10.9803,0.2870,Technology,Buy,1.6712,0.0000,0.5424,49.3825,2.0483,-0.6688,4.0000,0.7059842673756249
22,MPCK.DE,4.8800,4.3388,0.2560,Financial Services,Buy,4.8519,10.9959,0.9895,62.5646,2.5122,-4.4691,1.5000,-0.5772053250424806
23,0JSU.L,83.6000,3.3890,0.1660,Consumer Defensive,Buy,1.8228,2.2013,1.2617,37.5603,2.3729,-0.5515,2.5000,0.29118883399533063
24,HNNA,9.6000,8.5105,0.5900,Financial Services,Buy,12.7249,1.2747,0.9635,70.5239,NaN,-0.5189,1.0000,0.5213445424824723
25,HNNAZ,25.0600,8.5105,0.6179,Financial Services,Neutral,12.7249,1.2747,0.3691,70.5239,NaN,-0.5189,1.0000,0.5180999638199277
26,SRB.L,332.8000,4.2994,0.6930,Basic Materials,Buy,2.8635,0.0000,0.0093,48.2993,0.1988,-0.2509,3.0000,-0.5772053250424806
27,SBI.TO,6.2400,4.2994,0.6930,Basic Materials,Buy,2.8635,0.0000,0.4985,48.2993,0.1932,-0.0657,3.0000,-0.5772053250424806
28,RAVE,3.1600,18.3434,0.3320,Consumer Cyclical,Buy,7.5728,0.0000,0.3267,71.5204,1.5965,-0.6886,1.0000,0.44309165856199095
29,ITRN,44.4400,12.1276,0.7140,Technology,Buy,2.2481,1.5658,0.2990,49.4929,1.9397,-0.5977,2.5000,0.23442080506121404
30,EXEL,42.4000,13.8975,0.3990,Healthcare,Buy,3.7516,0.0000,0.2695,96.6230,2.7284,-0.4393,1.0000,-0.33262728729425145
31,0IJO.L,42.8400,13.8975,0.4000,Healthcare,Buy,3.7516,0.0000,0.2668,96.6230,2.7284,-0.4393,1.0000,-0.333369682973072
32,TCL-B.TO,23.3700,9.5926,0.7910,Industrials,Buy,1.2918,1.1421,0.6955,50.1029,1.9645,-0.6377,3.5000,0.43285144716749335
33,TCL-A.TO,22.6800,9.5926,0.7910,Industrials,Buy,1.2918,1.1421,0.7167,50.1029,1.9645,-0.6377,3.5000,0.43285144716749335
34,0DZJ.L,58.0000,11.1258,0.5780,Industrials,Buy,1.2712,0.0379,0.8389,4.2019,NaN,0.3149,5.5000,0.7059842673756249
35,FRES.L,3486.0000,9.2505,0.5420,Basic Materials,Neutral,5.0916,3.4385,0.0023,34.2943,0.5428,-0.6073,2.0000,0.05021079228092232
36,SNX.L,226.0000,5.3477,0.5390,Industrials,Strong Buy,1.9971,0.7631,0.0132,41.6682,NaN,-0.5662,5.5000,-0.5772053250424806
37,ANP.L,470.5000,6.7698,0.8420,Consumer Defensive,Buy,4.3224,0.0000,0.0059,47.1125,1.4526,-0.6454,2.5000,0.11269399187555472
38,CKN.L,3860.0000,8.8148,0.8920,Industrials,Buy,2.1937,2.2988,0.0047,94.4595,NaN,-0.6140,5.5000,0.2275320850718885
39,MSA.TO,5.7500,4.4074,1.0890,Basic Materials,Buy,1.6915,0.7852,0.6383,39.5854,0.3996,-0.3650,4.0000,-0.5772053250424806
40,SBOK.ST,49.7000,10.3674,0.4150,Industrials,Buy,3.3284,0.0000,0.6163,48.4251,2.2475,-0.5467,0.5000,0.6580083446077414
