,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat,moatScore
0,ENVA,163.3000,8.9401,1.2710,Financial Services,Neutral,21.7540,0.0000,0.3737,46.4827,NaN,-1.3643,4.0000,0.05538447039824981,5
1,SLP.L,106.5000,4.7958,0.3040,Basic Materials,Buy,7.4642,1.0144,0.0097,19.7296,0.7484,-4.7426,3.5000,0.6670787953345988,5
2,GSL-PB,26.2300,2.4544,0.9130,Industrials,Strong Buy,2.0085,2.2570,2.0108,54.4711,1.3719,0.1443,4.5000,0.32200323768179406,4
3,GSL,36.3200,2.4544,0.9130,Industrials,Strong Buy,2.0085,2.2570,1.4522,54.4711,1.3719,0.1443,4.5000,0.32200323768179406,4
4,CFX.L,975.0000,3.6869,0.0830,Consumer Cyclical,Buy,2.2056,0.3436,0.0086,56.7543,NaN,-0.6156,2.5000,0.25477635078613775,3
5,CAPD.L,116.0000,3.8713,0.5730,Basic Materials,Neutral,2.2398,1.1129,0.0136,42.5607,NaN,-0.5013,3.5000,0.18866178081636564,3
6,SYF,87.4300,6.1963,1.4250,Financial Services,Buy,18.9307,0.7155,0.6191,59.1497,NaN,inf,2.5000,-0.08978945938799843,6
7,SYF-PA,19.9500,6.1963,1.4250,Financial Services,Buy,18.9307,0.7155,2.7131,59.1497,NaN,inf,2.5000,-0.08978945938799843,6
8,RFX.L,394.0000,3.9982,0.4230,Industrials,Strong Buy,3.9996,5.0565,0.0058,51.9427,2.0993,-0.5015,2.0000,0.41084784360167986,5
9,AEP.L,1395.0000,2.4488,0.1380,Basic Materials,Strong Buy,6.2401,0.0000,0.0144,24.3555,2.1053,1.4898,2.5000,0.2688169512243195,3
10,MPE.L,1250.0000,4.1845,0.2700,Consumer Defensive,Strong Buy,3.4271,3.2432,0.0118,32.9133,NaN,-0.7770,1.0000,-0.14355008868429034,3
11,PRU.TO,5.3300,8.0136,1.0850,Basic Materials,Buy,4.5901,0.3477,0.4302,56.4923,2.4963,-0.0629,5.0000,-0.565498385284464,4
12,CDFF.L,2700.0000,8.7433,-0.1810,Real Estate,Buy,0.0000,0.2859,0.0083,131.5773,NaN,0.0426,2.5000,0.7139618237827546,6
13,HSM.L,340.0000,3.9160,-0.2250,Industrials,Buy,5.4470,2.5560,0.0143,46.8283,1.1225,-0.1882,3.0000,0.5873890978201352,4
14,RRBI,71.3800,9.9274,0.5200,Financial Services,Buy,419.3537,0.2314,0.6186,53.3581,1.6990,-0.6771,1.0000,0.48466332332469214,5
15,NEXN,5.9000,15.8429,1.4750,Communication Services,Buy,1.2523,0.0000,0.6207,75.9088,NaN,-0.6136,2.0000,0.7139618237827546,4
16,0HQ7.L,54.4101,14.1217,1.0310,Consumer Cyclical,Buy,2.2055,0.6387,0.2739,48.6670,1.6824,-0.6000,3.0000,0.7139618237827546,4
17,BKE,53.8900,14.1217,1.0310,Consumer Cyclical,Buy,2.2055,0.6387,0.2765,48.6670,1.6824,-0.6000,3.0000,0.7139618237827546,4
18,M12.DE,18.9000,6.0671,1.0370,Healthcare,Buy,2.0624,0.0000,0.5009,11.5760,2.5165,-0.4742,3.5000,-0.565498385284464,2
19,GFM.L,260.4390,11.8171,0.2090,Basic Materials,Buy,1.7957,0.0000,0.0053,33.2910,1.7344,0.0311,0.0000,0.44783338912486814,3
20,DORO.ST,40.0500,10.9803,0.2870,Technology,Buy,1.6712,0.0000,0.5424,49.3825,2.0593,-0.6688,4.0000,0.7139618237827546,2
21,0QQF.L,20.8721,3.7318,0.5690,Industrials,Strong Buy,1.8294,3.0490,0.8882,45.1419,1.8109,-0.4181,6.0000,-0.565498385284464,3
22,MPCK.DE,4.9200,4.3388,0.2560,Financial Services,Buy,4.8519,10.9959,0.9815,62.5646,2.4603,-4.4691,1.5000,-0.565498385284464,6
