dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
0VOA.L,WDO.TO,Wesdome Gold Mines Ltd.,Basic Materials,Basic Materials,0VOA.L|WDO.TO,lse-iob,24.84,150216000.0,3731365440.0,canonicity,1,0,0,0,2121.0,2026-08-13,682896.0,2026-08-13
SBI.TO,SRB.L,Serabi Gold plc,Basic Materials,Basic Materials,SBI.TO|SRB.L,,3.7009,75735000.0,280285540.92,symbol_length,0,0,0,0,35587.0,2026-08-13,276504.0,2026-08-13
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,,155.13,501659000.0,77822360670.0,punctuation,0,0,0,0,1087995.0,2026-08-13,2758877.0,2026-08-13
0R2J.L,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,lse-iob,155.13,501659000.0,77822360670.0,canonicity,1,0,0,0,8013.0,2026-08-13,2758877.0,2026-08-13
K.TO,KGC,Kinross Gold Corporation,Basic Materials,Basic Materials,K.TO|KGC,,23.62,1191629000.0,28146276980.0,punctuation,0,0,0,0,3451229.0,2026-08-13,8295803.0,2026-08-13
SU.TO,SU,Suncor Energy Inc.,Energy,Energy,SU|SU.TO,,76.3,1179000000.0,89957700000.0,punctuation,0,0,0,0,5947027.0,2026-08-13,4547974.0,2026-08-13
0LJL.L,UHS,"Universal Health Services, Inc.",Healthcare,Healthcare,0LJL.L|UHS,lse-iob,148.6526,59657000.0,8868168980.0,canonicity,1,0,0,0,793.0,2026-08-13,1038930.0,2026-08-13
PAAS.TO,PAAS,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,,54.63,421849000.0,23045610870.0,punctuation,0,0,0,0,895640.0,2026-08-13,4525283.0,2026-08-13
0R07.L,PAAS,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,lse-iob,54.63,421849000.0,23045610870.0,canonicity,1,0,0,0,20151.0,2026-08-13,4525283.0,2026-08-13
0QYM.L,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,lse-iob,8.45,301010000.0,2543534500.0,canonicity,1,0,0,0,38704.0,2026-08-13,5291267.0,2026-08-13
FVI.TO,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,,8.45,301010000.0,2543534500.0,punctuation,0,0,0,0,785358.0,2026-08-13,5291267.0,2026-08-13
TFPM.TO,TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Basic Materials,TFPM|TFPM.TO,,29.97,206295928.0,6182688962.16,punctuation,0,0,0,0,205335.0,2026-08-13,650041.0,2026-08-13
SMSD.L,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L,,8350352.8461,160920000.0,1343738780000000.0,shares,1,0,0,0,4878.0,2026-08-13,31921641.0,2026-08-13
005935.KS,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L,korea-preferred,334000.0,4023170000.0,1343738780000000.0,canonicity,0,0,0,0,4921401.0,2026-08-13,31921641.0,2026-08-13
BC94.L,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L,,8350352.8461,160920000.0,1343738780000000.0,shares,1,0,0,0,14765.0,2026-08-13,31921641.0,2026-08-13
