source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
KIN2.DE,ejected_below_floor,110493.5098188,2026-08-21|EUR,1000000.0
SBI.TO,ejected_below_floor,145587.0768,2026-08-21|CAD,1000000.0
0J3H.L,ejected_below_floor,213985.19999999998,2026-08-21|USD,1000000.0
0VOA.L,ejected_below_floor,53341.37684399999,2026-08-21|CAD,1000000.0
HFF.DE,ejected_below_floor,4639.3699312,2026-08-21|EUR,1000000.0
GMR.L,ejected_below_floor,117553.57739327998,2026-08-21|GBp,1000000.0
0LJL.L,ejected_below_floor,139234.94,2026-08-21|USD,1000000.0
0QYM.L,ejected_below_floor,460895.437248,2026-08-21|CAD,1000000.0
CFX.L,ejected_below_floor,96110.287056,2026-08-21|GBp,1000000.0
216050.KQ,ejected_below_floor,136238.14543959,2026-08-21|KRW,1000000.0
234080.KS,ejected_below_floor,268727.3867509305,2026-08-21|KRW,1000000.0
0JSU.L,ejected_below_floor,8489.909915999999,2026-08-21|EUR,1000000.0
001065.KS,ejected_below_floor,5163.374977425,2026-08-21|KRW,1000000.0
001067.KS,ejected_below_floor,2534.5704735,2026-08-21|KRW,1000000.0
0QNG.L,ejected_below_floor,270277.30030329,2026-08-21|CHF,1000000.0
0HQU.L,ejected_below_floor,321226.80000000005,2026-08-21|USD,1000000.0
0VCO.L,ejected_below_floor,23794.48782,2026-08-21|CAD,1000000.0
ALNTG.PA,ejected_below_floor,20299.821446519996,2026-08-21|EUR,1000000.0
PA9.DE,ejected_below_floor,3632.15609,2026-08-21|EUR,1000000.0
MOUR.BR,ejected_below_floor,43984.460399999996,2026-08-21|EUR,1000000.0
LOUP.PA,ejected_below_floor,689391.034464,2026-08-21|EUR,1000000.0
PRU.TO,ejected_below_floor,145278.93290400002,2026-08-21|CAD,1000000.0
007700.KS,ejected_below_floor,247089.1448337885,2026-08-21|KRW,1000000.0
EIN.DE,ejected_below_floor,296699.543512,2026-08-21|EUR,1000000.0
092730.KQ,ejected_below_floor,981055.6516027575,2026-08-21|KRW,1000000.0
028100.KS,ejected_below_floor,451690.64215143,2026-08-21|KRW,1000000.0
EMBELL.ST,ejected_below_floor,37311.067776,2026-08-21|SEK,1000000.0
0EAQ.L,ejected_below_floor,121281.8106,2026-08-21|USD,1000000.0
SNFCA,ejected_below_floor,322424.775,2026-08-21|USD,1000000.0
0VL5.L,ejected_below_floor,23924.426368,2026-08-21|CAD,1000000.0
0RJ6.L,ejected_below_floor,7742.616963999999,2026-08-21|EUR,1000000.0
SEA1.OL,ejected_below_floor,491342.896848,2026-08-21|NOK,1000000.0
LNF.TO,ejected_below_floor,462566.17452,2026-08-21|CAD,1000000.0
0KAN.L,ejected_below_floor,18234.2,2026-08-21|USD,1000000.0
DBO.TO,ejected_below_floor,658289.662216,2026-08-21|CAD,1000000.0
HCL.DE,ejected_below_floor,418719.33618479996,2026-08-21|EUR,1000000.0
0QQF.L,ejected_below_floor,8434.47162,2026-08-21|CHF,1000000.0
0KGH.L,ejected_below_floor,92057.72,2026-08-21|USD,1000000.0
SFE.DE,ejected_below_floor,158.4559416,2026-08-21|EUR,1000000.0
268280.KS,ejected_below_floor,320328.11489903997,2026-08-21|KRW,1000000.0
033270.KS,ejected_below_floor,389523.2535943065,2026-08-21|KRW,1000000.0
FCAP,ejected_below_floor,727450.96,2026-08-21|USD,1000000.0
XLY.TO,ejected_below_floor,212722.70166,2026-08-21|CAD,1000000.0
0AHJ.L,ejected_below_floor,94956.982988,2026-08-21|CAD,1000000.0
TCL-B.TO,ejected_below_floor,5850.58452,2026-08-21|CAD,1000000.0
032850.KQ,ejected_below_floor,178311.6903547575,2026-08-21|KRW,1000000.0
PES.DE,ejected_below_floor,5710.7073816,2026-08-21|EUR,1000000.0
RTC.L,ejected_below_floor,10954.3097895,2026-08-21|GBp,1000000.0
TWC.TO,ejected_below_floor,35487.163344,2026-08-21|CAD,1000000.0
069730.KS,ejected_below_floor,244446.179951805,2026-08-21|KRW,1000000.0
0IWV.L,ejected_below_floor,29842.76876,2026-08-21|EUR,1000000.0
ERIC-A.ST,ejected_below_floor,336281.510176,2026-08-21|SEK,1000000.0
ITU.DE,ejected_below_floor,744407.27304,2026-08-21|EUR,1000000.0
NRG.PA,ejected_below_floor,68285.46686,2026-08-21|EUR,1000000.0
0R0A.L,ejected_below_floor,770762.75,2026-08-21|USD,1000000.0
0KNY.L,ejected_below_floor,308863.05,2026-08-21|USD,1000000.0
M12.DE,ejected_below_floor,111593.028092,2026-08-21|EUR,1000000.0
UNP.DE,ejected_below_floor,38980.441344,2026-08-21|EUR,1000000.0
0GX2.L,ejected_below_floor,54490.383024,2026-08-21|EUR,1000000.0
ERCG.DE,ejected_below_floor,3498.0582624,2026-08-21|EUR,1000000.0
CDM1.DE,ejected_below_floor,299421.72591589997,2026-08-21|EUR,1000000.0
VAN.BR,ejected_below_floor,81481.737348,2026-08-21|EUR,1000000.0
OPLN,kept_no_reading,,no-reading,1000000.0
ERCB.DE,ejected_below_floor,124816.46312168,2026-08-21|EUR,1000000.0
YCP.DE,ejected_below_floor,111400.1677712,2026-08-21|EUR,1000000.0
CCLD,ejected_below_floor,767354.69,2026-08-21|USD,1000000.0
0QQM.L,ejected_below_floor,9839.016,2026-08-21|CHF,1000000.0
0GBU.L,ejected_below_floor,27315.628032,2026-08-21|SEK,1000000.0
0QLD.L,ejected_below_floor,239249.08243235995,2026-08-21|CHF,1000000.0
SOBA.DE,ejected_below_floor,195265.02607259998,2026-08-21|EUR,1000000.0
SIP.BR,ejected_below_floor,515925.8328,2026-08-21|EUR,1000000.0
007540.KS,ejected_below_floor,175495.609254735,2026-08-21|KRW,1000000.0
