source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
KIN2.DE,ejected_below_floor,109930.35754560001,2026-08-21|EUR,1000000.0
SBI.TO,ejected_below_floor,145742.68764,2026-08-21|CAD,1000000.0
0J3H.L,ejected_below_floor,213985.19999999998,2026-08-21|USD,1000000.0
0VOA.L,ejected_below_floor,53398.39080869999,2026-08-21|CAD,1000000.0
HFF.DE,ejected_below_floor,4615.7244544000005,2026-08-21|EUR,1000000.0
GMR.L,ejected_below_floor,117087.55126655998,2026-08-21|GBp,1000000.0
0LJL.L,ejected_below_floor,139234.94,2026-08-21|USD,1000000.0
0QYM.L,ejected_below_floor,461388.0656304,2026-08-21|CAD,1000000.0
CFX.L,ejected_below_floor,95729.270112,2026-08-21|GBp,1000000.0
216050.KQ,ejected_below_floor,137411.982298794,2026-08-21|KRW,1000000.0
234080.KS,ejected_below_floor,271042.7596637663,2026-08-21|KRW,1000000.0
0JSU.L,ejected_below_floor,8446.639392000001,2026-08-21|EUR,1000000.0
001065.KS,ejected_below_floor,5207.862957255,2026-08-21|KRW,1000000.0
001067.KS,ejected_below_floor,2556.4085001,2026-08-21|KRW,1000000.0
0HQU.L,ejected_below_floor,321226.80000000005,2026-08-21|USD,1000000.0
0VCO.L,ejected_below_floor,23819.920573499996,2026-08-21|CAD,1000000.0
ALNTG.PA,ejected_below_floor,20196.35934624,2026-08-21|EUR,1000000.0
PA9.DE,ejected_below_floor,3613.6440800000005,2026-08-21|EUR,1000000.0
MOUR.BR,ejected_below_floor,43760.2848,2026-08-21|EUR,1000000.0
LOUP.PA,ejected_below_floor,685877.415168,2026-08-21|EUR,1000000.0
PRU.TO,ejected_below_floor,145434.2143842,2026-08-21|CAD,1000000.0
007700.KS,ejected_below_floor,249218.0812251291,2026-08-21|KRW,1000000.0
EIN.DE,ejected_below_floor,295187.354944,2026-08-21|EUR,1000000.0
092730.KQ,ejected_below_floor,989508.4918925745,2026-08-21|KRW,1000000.0
028100.KS,ejected_below_floor,455582.438556938,2026-08-21|KRW,1000000.0
EMBELL.ST,ejected_below_floor,37069.38816,2026-08-21|SEK,1000000.0
0EAQ.L,ejected_below_floor,121281.8106,2026-08-21|USD,1000000.0
SNFCA,ejected_below_floor,322424.775,2026-08-21|USD,1000000.0
0VL5.L,ejected_below_floor,23949.998006399997,2026-08-21|CAD,1000000.0
0RJ6.L,ejected_below_floor,7703.155168,2026-08-21|EUR,1000000.0
SFE.DE,ejected_below_floor,157.64833920000004,2026-08-21|EUR,1000000.0
SEA1.OL,ejected_below_floor,491985.535166,2026-08-21|NOK,1000000.0
LNF.TO,ejected_below_floor,463060.5886709999,2026-08-21|CAD,1000000.0
0KAN.L,ejected_below_floor,18234.2,2026-08-21|USD,1000000.0
DBO.TO,ejected_below_floor,658993.2755418,2026-08-21|CAD,1000000.0
HCL.DE,ejected_below_floor,416585.2493376,2026-08-21|EUR,1000000.0
0QQF.L,ejected_below_floor,8384.773212,2026-08-21|CHF,1000000.0
0KGH.L,ejected_below_floor,92057.72,2026-08-21|USD,1000000.0
268280.KS,ejected_below_floor,323088.083093664,2026-08-21|KRW,1000000.0
033270.KS,ejected_below_floor,392879.4116740479,2026-08-21|KRW,1000000.0
FCAP,ejected_below_floor,727450.96,2026-08-21|USD,1000000.0
XLY.TO,ejected_below_floor,212950.07045549995,2026-08-21|CAD,1000000.0
0AHJ.L,ejected_below_floor,95058.4778199,2026-08-21|CAD,1000000.0
TCL-B.TO,ejected_below_floor,5856.837921,2026-08-21|CAD,1000000.0
032850.KQ,ejected_below_floor,179848.0356557745,2026-08-21|KRW,1000000.0
PES.DE,ejected_below_floor,5681.601619200001,2026-08-21|EUR,1000000.0
RTC.L,ejected_below_floor,10910.882828999998,2026-08-21|GBp,1000000.0
TWC.TO,ejected_below_floor,35525.0938212,2026-08-21|CAD,1000000.0
069730.KS,ejected_below_floor,246552.344383163,2026-08-21|KRW,1000000.0
0IWV.L,ejected_below_floor,29690.669120000002,2026-08-21|EUR,1000000.0
ERIC-A.ST,ejected_below_floor,334103.27216000005,2026-08-21|SEK,1000000.0
ITU.DE,ejected_below_floor,740613.25248,2026-08-21|EUR,1000000.0
NRG.PA,ejected_below_floor,67937.43632000001,2026-08-21|EUR,1000000.0
0R0A.L,ejected_below_floor,770762.75,2026-08-21|USD,1000000.0
0KNY.L,ejected_below_floor,308863.05,2026-08-21|USD,1000000.0
M12.DE,ejected_below_floor,111024.27190400001,2026-08-21|EUR,1000000.0
UNP.DE,ejected_below_floor,38781.76972800001,2026-08-21|EUR,1000000.0
0GX2.L,ejected_below_floor,54212.66188800001,2026-08-21|EUR,1000000.0
ERCG.DE,ejected_below_floor,3480.2297088000005,2026-08-21|EUR,1000000.0
CCLD,ejected_below_floor,767354.69,2026-08-21|USD,1000000.0
CDM1.DE,ejected_below_floor,297895.6632008,2026-08-21|EUR,1000000.0
VAN.BR,ejected_below_floor,81066.449376,2026-08-21|EUR,1000000.0
OPLN,kept_no_reading,,no-reading,1000000.0
ERCB.DE,ejected_below_floor,124180.31105216002,2026-08-21|EUR,1000000.0
YCP.DE,ejected_below_floor,110832.39453440001,2026-08-21|EUR,1000000.0
0QQM.L,ejected_below_floor,9781.0416,2026-08-21|CHF,1000000.0
0GBU.L,ejected_below_floor,27138.69312,2026-08-21|SEK,1000000.0
IVU.DE,ejected_below_floor,298169.640384,2026-08-21|EUR,1000000.0
0QLD.L,ejected_below_floor,237839.35589013595,2026-08-21|CHF,1000000.0
SOBA.DE,ejected_below_floor,194269.8188112,2026-08-21|EUR,1000000.0
SIP.BR,ejected_below_floor,513296.31360000005,2026-08-21|EUR,1000000.0
007540.KS,ejected_below_floor,177007.691015001,2026-08-21|KRW,1000000.0
043150.KQ,ejected_below_floor,536888.1296335914,2026-08-21|KRW,1000000.0
0QNG.L,ejected_below_floor,268684.746300054,2026-08-21|CHF,1000000.0
NRO.PA,ejected_below_floor,365784.904072,2026-08-21|EUR,1000000.0
MED.DE,ejected_below_floor,46083.383120000006,2026-08-21|EUR,1000000.0
0Q4C.L,ejected_below_floor,519.4069840000001,2026-08-21|EUR,1000000.0
NEDAP.AS,ejected_below_floor,582958.0721120001,2026-08-21|EUR,1000000.0
0HF6.L,ejected_below_floor,956578.0,2026-08-21|USD,1000000.0
