Net Income 			[income statement] (=earnings)
Operating income 		[income statement]
Total Assets		 	[balance sheet]
Cash flow from operations 	[cash flow statement]
Book value 			[calc: total assets - total liabilities] (=equity)
Market capitalization 		[calc: shares*price]
Revenue 			[income statement]
Gross margin 			[calc: Revenue - operating costs] (=Gross profit)
Current Assets 			[balance sheet]
Current Liabilities 		[balance sheet]
Price 				[various]
Dividends 			[cash flow statement]
Operating cash flow 		[cash flow statement]
Capital expenditures 		[cash flow statement]
Free Cash flow 			[calc: CFO - CapEx]
EBIT 				[income statement[ (~Operating income)
Operating revenue 		[income statement]
Operating expenses		[income statement]
Taxes 				[all?]
Account receivables		[balance sheet]
Inventory			[balance sheet]
Account payables		[balance sheet]
Accruals			[calc: Earnings - COF]
Depreciation			[all?]
Amortization			[income statement]
Working capital			[calc: current assets - current liabilities]
long-term debt 			[balance sheet]
total employees			[annual report]
Investment			[balance sheet]
Net Operational assets 		[calc:  total assets -  all liabilities -  all financial assets + all financial liabilities]
