pool,source,status,n_capped,metric_before,contrib_before,share_before,share_after,cap_value,base_before,base_after,agg_delta
general,SKHY,ok,0,EPStoEPSmean,-0.1566830907441857,0.1442560245712224,0.1442560245712224,,1.0861459076659068,1.0861459076659068,0.0
general,STNG,ok,0,earnYield,0.27190136906459805,0.20631987901135349,0.20631987901135349,,1.3178631664941782,1.3178631664941782,0.0
general,UHS,ok,0,earnYield,0.09932204394006468,0.2443368127693614,0.2443368127693614,,0.40649643749678627,0.40649643749678627,0.0
general,SU,ok,0,earnYield,0.11393511965555317,0.16017583364722465,0.16017583364722465,,0.7113127933299026,0.7113127933299026,0.0
general,RMV.L,ok,0,incomeQuality,0.18862854286348735,0.15935868665367597,0.15935868665367597,,1.1836728001744998,1.1836728001744998,0.0
general,TSM,ok,0,interestCoverage,0.15684627370577758,0.1555321281670918,0.1555321281670918,,1.0084493509744428,1.0084493509744428,0.0
general,ENH.OL,ok,0,earnYield,-0.21376425677057084,0.2092907670858833,0.2092907670858833,,1.0213745199894644,1.0213745199894644,0.0
general,LRCX,ok,0,CycleHeat,-0.135279346957068,0.1355180614317846,0.1355180614317846,,0.9982385043573194,0.9982385043573194,0.0
general,005930.KS,ok,0,CycleHeat,-0.14610978056758367,0.1714660973683896,0.1714660973683896,,0.8521205230073635,0.8521205230073635,0.0
general,SD,ok,0,earnYield,0.23974972635110633,0.22601992297766021,0.22601992297766021,,1.0607459873119378,1.0607459873119378,0.0
general,ARX.TO,ok,0,earnYield,0.15560139181486654,0.18488055355461147,0.18488055355461147,,0.8416320095499054,0.8416320095499054,0.0
general,MU,ok,0,EPStoEPSmean,-0.1543870995148622,0.14661740080412297,0.14661740080412297,,1.052993019028617,1.052993019028617,0.0
general,HAFN,ok,1,earnYield,0.2595723916512044,0.2701140711546713,0.25000000000000006,0.23380027972756764,0.9609732308339072,0.9352011189102705,-0.02577211192363671
general,ADBE,ok,0,returnOnCapitalEmployed,0.1144475224781161,0.13417395686948977,0.13417395686948977,,0.852978664029701,0.852978664029701,0.0
general,001060.KS,ok,0,earnYield,0.11362839965424434,0.20300760224694664,0.20300760224694664,,0.5597248496931764,0.5597248496931764,0.0
general,AUTO.L,ok,0,RoA,0.15821023244027754,0.17725294552329995,0.17725294552329995,,0.8925675789093206,0.8925675789093206,0.0
general,192080.KS,ok,0,interestCoverage,0.15573694899449095,0.15981781581554677,0.15981781581554677,,0.9744655074890666,0.9744655074890666,0.0
general,NICE,ok,0,freeCashFlowPerShareGrowth,-0.09624311984689811,0.2205261830306922,0.2205261830306922,,0.4364249112020556,0.4364249112020556,0.0
general,SIS.TO,ok,0,CycleHeat,-0.0923713160807933,0.21684002283833959,0.21684002283833959,,0.4259883155871956,0.4259883155871956,0.0
