pool,source,n_flags,flags,status,note
BalanceSheetFin,MBI,1,returnOnAssets,EJECTED,
BalanceSheetFin,OSG,1,returnOnAssets,EJECTED,
BalanceSheetFin,SDLF.L,1,returnOnAssets,EJECTED,
FinManager,041190.KQ,1,CFOlessEarnings,EJECTED,
FinManager,DB1.DE,1,CFOlessEarnings,EJECTED,
FinManager,GS,1,uInterestCoverage,EJECTED,
FinManager,LATO-B.ST,1,CFOlessEarnings,EJECTED,
FinManager,MS,1,uInterestCoverage,EJECTED,
FinManager,X.TO,1,uInterestCoverage,EJECTED,
InvestmentVehicle,,,,NO_EJECTIONS,"pool 'InvestmentVehicle' is not in VETO_POOLS ['general', 'REIT', 'Mining', 'FinManager', 'BalanceSheetFin']: n = 15 and nothing in it fails the statutory asset-coverage test, so there is no ejection to make. The obvious candidate flag is also structurally undefined here -- under ASC 946 portfolio purchases are an OPERATING cash flow, so `CFO > 0` ejects 5 of 15 (3 of them in the top-25) for DEPLOYING CAPITAL. This cohort is NOT vetoed and is NOT thereby certified clean."
Mining,ABRA.TO,1,cashRunwayOneYear,EJECTED,
Mining,ALOY,1,producerEbitdaPositive,EJECTED,
Mining,ASTL,1,producerEbitdaPositive,EJECTED,
Mining,AVTX.AS,1,producerEbitdaPositive,EJECTED,
Mining,CRML,1,producerEbitdaPositive,EJECTED,
Mining,IAU.TO,1,producerEbitdaPositive,EJECTED,
Mining,LGO,1,producerEbitdaPositive,EJECTED,
Mining,MAS,1,equityPositive,EJECTED,
Mining,SLS.TO,1,equityPositive,EJECTED,
REIT,AOMR,1,reitEbitdaInterestCoverage,EJECTED,
REIT,CMTG,1,reitEbitdaInterestCoverage,EJECTED,
REIT,FTHM,1,reitEbitdaInterestCoverage,EJECTED,
general,000120.KS,1,netDebtToEBITDA,EJECTED,
general,000640.KS,1,uCurrentRatio,EJECTED,
general,000650.KS,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,002020.KS,1,uCurrentRatio,EJECTED,
general,003380.KQ,1,uCurrentRatio,EJECTED,
general,004170.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,004800.KS,1,uCurrentRatio,EJECTED,
general,005300.KS,1,uCurrentRatio,EJECTED,
general,005880.KS,1,netDebtToEBITDA,EJECTED,
general,006730.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,007610.KS,2,"uCurrentRatio, uInterestCoverage",EJECTED,
general,008930.KS,1,uCurrentRatio,EJECTED,
general,012200.KS,2,"netDebtToEBITDA, uInterestCoverage",EJECTED,
general,013360.KS,1,netDebtToEBITDA,EJECTED,
general,014910.KS,1,netDebtToEBITDA,EJECTED,
general,020150.KS,1,uInterestCoverage,EJECTED,
general,021240.KS,1,CFOlessEarnings,EJECTED,
general,025980.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,028300.KQ,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,033640.KQ,1,uCurrentRatio,EJECTED,
general,042660.KS,1,netDebtToEBITDA,EJECTED,
general,048410.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,075580.KS,1,uCurrentRatio,EJECTED,
general,082270.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,084670.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,090710.KQ,1,uInterestCoverage,EJECTED,
general,092220.KS,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,097230.KS,1,uCurrentRatio,EJECTED,
general,0R0G.L,1,uCurrentRatio,EJECTED,
general,0YG8.L,1,uCurrentRatio,EJECTED,
general,112040.KQ,2,"uCurrentRatio, uInterestCoverage",EJECTED,
general,117730.KQ,1,uInterestCoverage,EJECTED,
general,179900.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,215200.KQ,1,uCurrentRatio,EJECTED,
general,215600.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,226950.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,249420.KS,1,uCurrentRatio,EJECTED,
general,272210.KS,1,uCurrentRatio,EJECTED,
general,277810.KQ,2,"CFOlessEarnings, uInterestCoverage",EJECTED,
general,282330.KS,1,uCurrentRatio,EJECTED,
general,294870.KS,1,netDebtToEBITDA,EJECTED,
general,298020.KS,1,uCurrentRatio,EJECTED,
general,299660.KQ,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,348340.KQ,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,348370.KQ,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,393890.KQ,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,402340.KS,1,CFOlessEarnings,EJECTED,
general,8TRA.DE,1,netDebtToEBITDA,EJECTED,
general,AAL,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,AAV.TO,1,uCurrentRatio,EJECTED,
general,ABBV,1,uCurrentRatio,EJECTED,
general,ABVX,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,ABXX.TO,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,AC.TO,1,uCurrentRatio,EJECTED,
