source_a,source_b,n_shared,name_a,name_b,shared_tokens,name_match,verdict,first_shared_date,last_shared_date
ALTA.PA,AREIT.PA,19,Altarea SCA,Altareit SCA,,False,NAME_MISMATCH,2014-10-01,2023-10-01
058820.KQ,CMG,9,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2020-07-01,2022-07-01
058820.KQ,0HXW.L,8,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2020-07-01,2022-07-01
0RJ6.L,LOUP.PA,22,L.d.c. S.a.,L.d.c. S.a.,,,name_unknown,2014-07-01,2026-01-01
0DO7.L,AVT.PA,24,Avenir Telecom S.A.,Avenir Telecom S.A.,avenir telecom,True,name_match,2014-07-01,2026-01-01
0JZU.L,MCK,24,McKesson Corporation,McKesson Corporation,mckesson,True,name_match,2020-07-01,2026-04-01
003550.KS,003555.KS,24,LG Corp.,LG Corp.,lg,True,name_match,2020-04-01,2026-01-01
0IW5.L,HO.PA,24,Thales S.A.,Thales S.A.,thales,True,name_match,2014-10-01,2026-04-01
0XVU.L,ZS,24,"Zscaler, Inc.","Zscaler, Inc.",zscaler,True,name_match,2020-07-01,2026-04-01
0IX0.L,GLO.PA,24,GL Events S.A.,GL Events S.A.,events gl,True,name_match,2014-10-01,2026-04-01
QBR-A.TO,QBR-B.TO,24,Quebecor Inc.,Quebecor Inc.,quebecor,True,name_match,2020-07-01,2026-04-01
0QOW.L,RIG,24,Transocean Ltd.,Transocean Ltd.,transocean,True,name_match,2020-07-01,2026-04-01
HVT,HVT-A,24,"Haverty Furniture Companies, Inc.","Haverty Furniture Companies, Inc.",furniture haverty,True,name_match,2020-07-01,2026-04-01
TECK-A.TO,TECK-B.TO,24,Teck Resources Limited,Teck Resources Limited,resources teck,True,name_match,2020-07-01,2026-04-01
001790.KS,001795.KS,24,TS Corporation,TS Corporation,ts,True,name_match,2020-04-01,2026-01-01
0OPJ.L,ABCA.PA,24,ABC arbitrage S.A.,ABC arbitrage S.A.,abc arbitrage,True,name_match,2014-04-01,2025-10-01
PPL,PPLC,24,PPL Corporation,PPL Corporation,ppl,True,name_match,2020-07-01,2026-04-01
0R1T.L,EXPE,24,"Expedia Group, Inc.","Expedia Group, Inc.",expedia,True,name_match,2020-07-01,2026-04-01
