date,currency,rate,pair
2019-01-01,AED,0.27186,AEDUSD
2019-01-02,AED,0.27186,AEDUSD
2019-01-03,AED,0.27186,AEDUSD
2019-01-04,AED,0.27186,AEDUSD
2019-01-07,AED,0.27186,AEDUSD
2019-01-08,AED,0.27186,AEDUSD
2019-01-09,AED,0.27186,AEDUSD
2019-01-10,AED,0.27186,AEDUSD
2019-01-11,AED,0.27186,AEDUSD
2019-01-14,AED,0.27186,AEDUSD
2019-01-15,AED,0.27186,AEDUSD
2019-01-16,AED,0.27186,AEDUSD
2019-01-17,AED,0.27186,AEDUSD
2019-01-18,AED,0.27186,AEDUSD
2019-01-21,AED,0.27187,AEDUSD
2019-01-22,AED,0.27186,AEDUSD
2019-01-23,AED,0.27186,AEDUSD
2019-01-24,AED,0.27187,AEDUSD
2019-01-25,AED,0.27186,AEDUSD
2019-01-28,AED,0.27186,AEDUSD
2019-01-29,AED,0.27188,AEDUSD
2019-01-30,AED,0.27186,AEDUSD
2019-01-31,AED,0.27187,AEDUSD
2019-02-01,AED,0.27187,AEDUSD
2019-02-04,AED,0.27187,AEDUSD
2019-02-05,AED,0.27186,AEDUSD
2019-02-06,AED,0.27186,AEDUSD
2019-02-07,AED,0.27188,AEDUSD
2019-02-08,AED,0.27188,AEDUSD
2019-02-11,AED,0.27186,AEDUSD
2019-02-12,AED,0.27188,AEDUSD
2019-02-13,AED,0.27187,AEDUSD
2019-02-14,AED,0.27187,AEDUSD
2019-02-15,AED,0.27186,AEDUSD
2019-02-18,AED,0.27186,AEDUSD
2019-02-19,AED,0.27186,AEDUSD
2019-02-20,AED,0.27186,AEDUSD
2019-02-21,AED,0.27188,AEDUSD
2019-02-22,AED,0.27188,AEDUSD
2019-02-25,AED,0.27186,AEDUSD
2019-02-26,AED,0.27187,AEDUSD
2019-02-27,AED,0.27186,AEDUSD
2019-02-28,AED,0.27186,AEDUSD
2019-03-01,AED,0.27186,AEDUSD
2019-03-04,AED,0.27186,AEDUSD
2019-03-05,AED,0.27186,AEDUSD
2019-03-06,AED,0.27186,AEDUSD
2019-03-07,AED,0.27186,AEDUSD
2019-03-08,AED,0.27187,AEDUSD
2019-03-11,AED,0.27186,AEDUSD
2019-03-12,AED,0.27186,AEDUSD
2019-03-13,AED,0.27186,AEDUSD
2019-03-14,AED,0.27186,AEDUSD
2019-03-15,AED,0.27186,AEDUSD
2019-03-18,AED,0.27186,AEDUSD
2019-03-19,AED,0.27186,AEDUSD
2019-03-20,AED,0.27186,AEDUSD
2019-03-21,AED,0.27186,AEDUSD
2019-03-22,AED,0.27187,AEDUSD
2019-03-25,AED,0.27186,AEDUSD
2019-03-26,AED,0.27186,AEDUSD
2019-03-27,AED,0.27184,AEDUSD
2019-03-28,AED,0.27186,AEDUSD
2019-03-29,AED,0.27186,AEDUSD
2019-04-01,AED,0.27186,AEDUSD
2019-04-02,AED,0.27186,AEDUSD
2019-04-03,AED,0.27186,AEDUSD
2019-04-04,AED,0.27186,AEDUSD
2019-04-05,AED,0.27185,AEDUSD
2019-04-08,AED,0.27186,AEDUSD
2019-04-09,AED,0.27186,AEDUSD
2019-04-10,AED,0.27186,AEDUSD
2019-04-11,AED,0.27186,AEDUSD
2019-04-12,AED,0.27185,AEDUSD
2019-04-15,AED,0.27186,AEDUSD
2019-04-16,AED,0.27186,AEDUSD
2019-04-17,AED,0.27186,AEDUSD
2019-04-18,AED,0.27186,AEDUSD
2019-04-19,AED,0.27186,AEDUSD
2019-04-22,AED,0.27186,AEDUSD
2019-04-23,AED,0.27186,AEDUSD
2019-04-24,AED,0.27186,AEDUSD
2019-04-25,AED,0.27188,AEDUSD
2019-04-26,AED,0.27188,AEDUSD
2019-04-29,AED,0.27186,AEDUSD
2019-04-30,AED,0.27186,AEDUSD
2019-05-01,AED,0.27186,AEDUSD
2019-05-02,AED,0.27186,AEDUSD
2019-05-03,AED,0.27186,AEDUSD
2019-05-06,AED,0.27184,AEDUSD
2019-05-07,AED,0.27186,AEDUSD
2019-05-08,AED,0.27186,AEDUSD
2019-05-09,AED,0.27186,AEDUSD
2019-05-10,AED,0.27186,AEDUSD
2019-05-13,AED,0.27186,AEDUSD
2019-05-14,AED,0.27186,AEDUSD
2019-05-15,AED,0.27186,AEDUSD
2019-05-16,AED,0.27184,AEDUSD
2019-05-17,AED,0.27185,AEDUSD
2019-05-20,AED,0.27185,AEDUSD
2019-05-21,AED,0.27186,AEDUSD
2019-05-22,AED,0.27186,AEDUSD
2019-05-23,AED,0.27186,AEDUSD
2019-05-24,AED,0.27187,AEDUSD
2019-05-27,AED,0.27186,AEDUSD
2019-05-28,AED,0.27186,AEDUSD
2019-05-29,AED,0.27186,AEDUSD
2019-05-30,AED,0.27186,AEDUSD
2019-05-31,AED,0.27187,AEDUSD
2019-06-03,AED,0.27187,AEDUSD
2019-06-04,AED,0.27186,AEDUSD
2019-06-05,AED,0.27186,AEDUSD
2019-06-06,AED,0.27186,AEDUSD
2019-06-07,AED,0.27187,AEDUSD
2019-06-10,AED,0.27186,AEDUSD
2019-06-11,AED,0.27186,AEDUSD
2019-06-12,AED,0.27186,AEDUSD
2019-06-13,AED,0.27186,AEDUSD
2019-06-14,AED,0.27182,AEDUSD
2019-06-17,AED,0.27186,AEDUSD
2019-06-18,AED,0.27186,AEDUSD
2019-06-19,AED,0.27186,AEDUSD
2019-06-20,AED,0.27186,AEDUSD
2019-06-21,AED,0.27186,AEDUSD
2019-06-24,AED,0.27186,AEDUSD
2019-06-25,AED,0.27186,AEDUSD
2019-06-26,AED,0.27186,AEDUSD
2019-06-27,AED,0.27186,AEDUSD
2019-06-28,AED,0.27186,AEDUSD
2019-07-01,AED,0.27186,AEDUSD
2019-07-02,AED,0.27186,AEDUSD
2019-07-03,AED,0.27186,AEDUSD
2019-07-04,AED,0.27186,AEDUSD
2019-07-05,AED,0.27186,AEDUSD
2019-07-08,AED,0.27186,AEDUSD
2019-07-09,AED,0.27186,AEDUSD
2019-07-10,AED,0.27186,AEDUSD
2019-07-11,AED,0.27185,AEDUSD
2019-07-12,AED,0.27186,AEDUSD
2019-07-15,AED,0.27185,AEDUSD
2019-07-16,AED,0.27186,AEDUSD
2019-07-17,AED,0.27186,AEDUSD
2019-07-18,AED,0.27186,AEDUSD
2019-07-19,AED,0.27186,AEDUSD
2019-07-22,AED,0.27188,AEDUSD
2019-07-23,AED,0.27186,AEDUSD
2019-07-24,AED,0.27186,AEDUSD
2019-07-25,AED,0.27186,AEDUSD
2019-07-26,AED,0.27186,AEDUSD
2019-07-29,AED,0.27186,AEDUSD
2019-07-30,AED,0.27185,AEDUSD
2019-07-31,AED,0.27186,AEDUSD
2019-08-01,AED,0.27186,AEDUSD
2019-08-02,AED,0.27188,AEDUSD
2019-08-05,AED,0.27186,AEDUSD
2019-08-06,AED,0.27185,AEDUSD
2019-08-07,AED,0.27186,AEDUSD
2019-08-08,AED,0.27186,AEDUSD
2019-08-09,AED,0.27185,AEDUSD
2019-08-12,AED,0.27186,AEDUSD
2019-08-13,AED,0.27186,AEDUSD
2019-08-14,AED,0.27186,AEDUSD
2019-08-15,AED,0.27179,AEDUSD
2019-08-16,AED,0.27187,AEDUSD
2019-08-19,AED,0.27186,AEDUSD
2019-08-20,AED,0.27186,AEDUSD
2019-08-21,AED,0.27186,AEDUSD
2019-08-22,AED,0.27186,AEDUSD
2019-08-23,AED,0.27186,AEDUSD
2019-08-26,AED,0.27186,AEDUSD
2019-08-27,AED,0.27186,AEDUSD
