metric,coefficient,abs_coef
earnYield,-0.6345448302470676,0.6345448302470676
grahamNumberToPrice,0.592282609965089,0.592282609965089
CycleHeat,-0.44615803600723025,0.44615803600723025
marketCapRevQuants,-0.3957434619736225,0.3957434619736225
Altman-Z,0.38901046845565634,0.38901046845565634
bVpRatio,0.34494279640625025,0.34494279640625025
returnOnEquity,0.25895206683179184,0.25895206683179184
returnOnCapitalEmployed,0.24554140688593515,0.24554140688593515
RoA,-0.23748461445856858,0.23748461445856858
moatScore,0.20813871617386365,0.20813871617386365
DcfToPrice,-0.15731259302886022,0.15731259302886022
BoScore,0.15702604403850803,0.15702604403850803
grossProfitMargin,-0.15257224734570135,0.15257224734570135
incomeQuality,-0.12829098363318747,0.12829098363318747
Piotroski,0.12658537288617316,0.12658537288617316
EPStoEPSmean,0.12095048733520711,0.12095048733520711
revenueGrowth,0.119293488510722,0.119293488510722
priceGrowth,-0.11373079557849688,0.11373079557849688
freeCashFlowYield,0.08871864702487554,0.08871864702487554
currentRatio,-0.029892591643077004,0.029892591643077004
freeCashFlowPerShareGrowth,-0.02790596295159093,0.02790596295159093
tbVpRatio,-0.007652541247864654,0.007652541247864654
