metric,coefficient,abs_coef
returnOnAssets,0.20899213543674036,0.20899213543674036
dReturnOnAssets,-0.18783179557111745,0.18783179557111745
dSalesToAssets,-0.16940871677393513,0.16940871677393513
dFreeCashFlowToEquity,-0.11502506802095724,0.11502506802095724
dReturnOnCapitalEmployed,0.11160756725205126,0.11160756725205126
dPbRatio,0.10677094208269235,0.10677094208269235
mPbRatio,-0.10489200307671544,0.10489200307671544
dGrossProfitToAssets,-0.07734322867028696,0.07734322867028696
mNetProfitMargin,0.057379683828516305,0.057379683828516305
dReturnOnTangibleAssets,0.04503736400786569,0.04503736400786569
dGrossProfitMargin,-0.03602393520258998,0.03602393520258998
returnOnEquity,0.024496156764036065,0.024496156764036065
dCFOtoMarketCap,0.019624161436653298,0.019624161436653298
dRevenue,-0.018205294855405507,0.018205294855405507
mGrossProfitMargin,-0.01727181389081512,0.01727181389081512
dEffectiveTaxRate,0.014627209045959835,0.014627209045959835
capitalExpenditureCoverageRatio,-0.012758010099349843,0.012758010099349843
mEarningsYield,0.012025772497680293,0.012025772497680293
CFO,0.011308438909126419,0.011308438909126419
dSharesOutstanding,-0.009679489082541112,0.009679489082541112
mPfcfRatio,0.008828152478877666,0.008828152478877666
mEquityToAssets,0.007990652383245844,0.007990652383245844
PEG,0.007958953796915113,0.007958953796915113
dAssetsToLongTermLiabilities,0.007870129402396278,0.007870129402396278
dGrossProfit,0.007865140638432347,0.007865140638432347
grahamNetNet,-0.006800335604970305,0.006800335604970305
uIncomeQuality,-0.0065437981070581895,0.0065437981070581895
mDebtEquityRatio,0.005909683909741595,0.005909683909741595
mSalesToMarketCap,0.005789572276831513,0.005789572276831513
uNetDebtToEBITDA,0.005489187844670528,0.005489187844670528
dEPS,-0.005174819788110875,0.005174819788110875
dNetIncomePerShare,-0.005174819788095902,0.005174819788095902
uGrahamNumberToPrice,0.004810602144085442,0.004810602144085442
dSalesToInventory,0.0036695128093212907,0.0036695128093212907
dCurrentRatio,-0.0032436556114212116,0.0032436556114212116
uCurrentRatio,0.0006650572160629277,0.0006650572160629277
