as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,1,RAVE,"RAVE Restaurant Group, Inc.",0.4006898599717168
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,2,SYS1.L,System1 Group PLC,0.3483606528213013
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,3,IMPP,Imperial Petroleum Inc.,0.3474278375936569
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,4,DLNG,Dynagas LNG Partners LP,0.34670920593788834
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,5,ALFA.L,Alfa Financial Software Holdings PLC,0.28418034583888263
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,6,AUDC,AudioCodes Ltd.,0.25800273197621043
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,7,TSTL.L,Tristel PLC,0.24209258435246217
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,8,ASY.L,Andrews Sykes Group plc,0.21793314456511836
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,9,INMD,InMode Ltd.,0.21550135080984203
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,10,GASS,StealthGas Inc.,0.19124822883612574
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,11,WATR.L,Water Intelligence plc,0.1751726875292128
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,12,BIJ.DE,Bijou Brigitte modische Accessoires AG,0.15664595202276965
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,13,AJ91.DE,DocCheck AG,0.1499271756726234
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,14,SD,"SandRidge Energy, Inc.",0.1455110320573534
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,15,EVER,"EverQuote, Inc.",0.1236061007270694
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,16,LSC.L,London Security plc,0.11235051031939136
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,17,CFX.L,Colefax Group Plc,0.09774711180979233
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,18,TWC.TO,TWC Enterprises Limited,0.08729418982027548
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,19,STO3.DE,Sto SE & Co. KGaA,0.08602997403319401
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,GENERAL,20,RFX.L,Ramsdens Holdings PLC,0.08066481070907566
