,source,AggScore,rankOfRanks,BoScorerank,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice
0,SXP.TO,15.418289016516422,21.0,55.0,7.39,3.3793462167270607,1.20802,Consumer Cyclical,Buy,2.2944285608678068,0.007118121774520291,0.7620560788238058
1,TPH,12.40663475999154,1.0,20.0,21.16,2.562853185570879,1.418207,Consumer Cyclical,Buy,17.539927645699013,,1.3859868977461955
2,GTN-A,9.96925785012531,23.0,81.0,12.42,2.7342128576388887,1.604813,Communication Services,Buy,2.094170403587444,0.01693222097429355,2.2162475453762247
3,GTN,9.520788138298595,5.0,24.0,12.6,3.5046315055263157,1.604813,Communication Services,Buy,2.094170403587444,0.014266835164027079,1.7342157617299863
4,UMC,9.138460998648215,7.0,4.0,7.92,3.6332251693939415,1.285411,Technology,Buy,2.471518274404701,,22.434269895841275
5,ATKR,9.00413762808384,31.0,5.0,127.56,3.7122923246740305,2.253923,Industrials,Strong Buy,2.894576926985063,,0.4635808864725278
6,BKE,8.54197943875897,12.0,47.0,43.38,8.105325970090899,0.969654,Consumer Cyclical,Strong Buy,2.1068324274796444,0.008809102232495421,0.36332488018696113
7,IMKTA,8.355233841120835,15.0,62.0,92.53,5.408756713826299,0.66376,Consumer Defensive,Buy,2.5110525109169353,0.002018886470884691,0.8210156415342631
8,TWNK,8.199076726130183,45.0,21.0,22.76,11.961786758212739,0.6376,Consumer Defensive,Strong Buy,2.0807453162238727,,0.527200608138396
9,LEN-B,6.7094817601269305,3.0,3.0,83.81,3.685814531258801,1.405301,Consumer Cyclical,Buy,17.032597282938216,0.005692512123358882,1.0427382911165715
10,TKC,6.328877741807898,6.0,14.0,5.11,1.9200364350167751,0.837513,Communication Services,Buy,1.8692685988425743,0.06783119619889878,8.31849223869802
11,MTH,6.028060001919299,11.0,23.0,103.41,2.4474393498394216,1.56784,Consumer Cyclical,Buy,8.083938606624736,,1.2331101629763048
12,MLI,5.514423816326329,18.0,43.0,63.07,5.233347932662157,1.174398,Industrials,Buy,3.789666272833227,0.00014899129992788728,0.6756436560124488
13,PXT.TO,5.118375239736723,27.0,34.0,22.76,8.576598614864318,1.788471,Energy,Buy,1.5981277512970633,0.00890123654335156,0.5828151211178646
14,FHI,5.002719284683506,36.0,44.0,38.43,10.051144328591732,1.022671,Financial Services,Strong Buy,2.637951023107283,0.008643669445412915,0.3802020378393316
15,ASX,4.720204442747204,31.0,11.0,7.37,4.42970825891229,1.241414,Technology,Buy,1.2154617219549437,0.09691416115254455,21.07864936102112
16,RS,4.418169964381224,2.0,36.0,222.25,6.654506067344346,0.876525,Basic Materials,Buy,3.2525689561925364,0.005050508642787935,0.5833286885846678
17,LEN,4.134755094003618,7.0,10.0,99.22,5.090902244613307,1.405301,Consumer Cyclical,Buy,17.26056290095834,0.004022357071394137,0.8802470129077056
18,PATK,4.075005252191572,4.0,42.0,68.94,4.083648565939577,1.879316,Consumer Cyclical,Strong Buy,2.540515801644399,0.007640631171714364,0.7350937845680328
19,TCL-A.TO,3.99190039534672,10.0,85.0,14.8,5.573799740562913,0.967919,Industrials,Buy,2.0744058500914075,0.014480592107108965,1.2461932475699053
20,NXST,3.633710388929425,42.0,22.0,201.48,5.6012072969160895,1.469131,Communication Services,Strong Buy,1.8208938913779915,0.005395565956828959,0.5581682082577956
21,TGNA,3.511655750966681,17.0,25.0,19.71,7.940167159004321,0.674572,Communication Services,Buy,2.711308732732368,0.004577626110087836,0.6961562631382987
22,CMC,3.3233432956029163,28.0,61.0,53.88,5.699365204432067,1.269619,Basic Materials,Buy,2.9920727723580858,0.003148070489247996,0.7032985646415506
23,HVT,3.257009049462236,24.0,46.0,33.75,4.142055246890147,1.356121,Consumer Cyclical,Buy,1.6087856557334523,0.011178406262277753,0.7179039693263136
24,HVT-A,3.2082601965369006,22.0,39.0,32.93,4.180548940460674,1.356121,Consumer Cyclical,Buy,1.6087856557334523,0.01107547763941141,0.7374962431015417
25,DHI,2.9162826082748374,41.0,27.0,94.83,8.063697194117033,1.527031,Consumer Cyclical,Buy,3.630937015068235,0.002784365358407325,0.6338049945789002
26,WSM,2.640324410848357,31.0,26.0,129.62,8.203418360658343,1.557028,Consumer Cyclical,Strong Buy,1.1110744478951,0.006365651095840178,0.32718226272295425
27,ITRN,2.5265186023478394,50.0,62.0,21.86,11.796973968337639,1.12452,Technology,Strong Buy,1.5871007129479207,0.0060118048169645714,0.40141199036103026
28,UFPI,2.4039263889750715,28.0,63.0,89.6,6.230523481342045,1.482036,Basic Materials,Buy,3.034601257253746,0.0036960209011727262,0.5643796905340513
29,TRTN,2.1624436706057386,33.0,10.0,69.85,4.7232402189403535,1.444018,Industrials,Strong Buy,5.24046163077198,0.02091038443603209,0.8465101726204457
30,ALSN,2.1313412554200295,46.0,30.0,44.25,5.780821599263823,1.0143,Consumer Cyclical,Strong Buy,1.7207392197125257,0.006222510486426982,0.36643835715525047
31,WLK,1.9866632415096253,9.0,12.0,119.45,6.9300016159601,1.201604,Basic Materials,Buy,2.4790735473384804,0.004138282475050814,0.6096344644975152
32,EXP,1.9748054862592046,56.0,57.0,141.53,10.526341419157053,1.308336,Basic Materials,Strong Buy,2.358511761881901,0.001879176882762245,0.333496634686854
33,DISCK,1.9050194956638293,19.0,68.0,24.42,6.940674342105263,1.12696,Communication Services,Buy,2.013756316676025,,0.8950534995371127
34,RUSHB,1.6888030395636284,13.0,45.0,56.07,7.319877813118527,0.991628,Consumer Cyclical,Buy,1.274748253290338,0.008329034316651352,0.5928130523592253
35,ISV.TO,1.4110482772871078,30.0,51.0,22.77,12.55040765611849,0.595488,Industrials,Strong Buy,1.8304060073819524,0.010401582041889568,0.40907048992908623
36,CACC,1.105197841128595,44.0,17.0,448.75,16.769677741935485,1.33903,Financial Services,Strong Buy,28.182274247491637,,0.29532867387646644
37,RUSHA,0.9889814539098474,14.0,54.0,52.2,6.701103039355581,0.991628,Consumer Cyclical,Buy,1.274748253290338,0.0090981310302344,0.6367629855513748
38,GMS,0.8954296216802007,48.0,40.0,56.43,4.831052901999942,1.851063,Industrials,Buy,2.345386894488129,,0.6955769064664582
39,MUSA,0.6387556757080635,35.0,47.0,268.39,7.266015428089067,0.864318,Consumer Cyclical,Strong Buy,1.0101919258769028,0.0011756293823773076,0.31228871303286937
