symbol,entity_id,whyfail
SPCZ,SPCZ,emptyfail
RNWZ,RNWZ,emptyfail
MIDDV,MIDDV,emptyfail
AGGID,AGGID,emptyfail
LIXT,LIXT,emptyfail
WTO,WTO,emptyfail
SSSS,SSSS,emptyfail
ATLN,ATLN,emptyfail
SATG,SATG,emptyfail
GUJGASLTD.NS,GUJGASLTD.NS,emptyfail
CEPT,CEPT,emptyfail
BTYB,BTYB,emptyfail
GLDY,GLDY,emptyfail
ALREW.PA,ALREW.PA,emptyfail
GAUD,GAUD,emptyfail
SDM,SDM,emptyfail
SOLR,SOLR,emptyfail
GAID,GAID,emptyfail
SGMO,SGMO,emptyfail
SEFER.PA,SEFER.PA,emptyfail
ORIS,ORIS,emptyfail
LOKVW,LOKVW,emptyfail
LOKVU,LOKVU,emptyfail
LOKV,LOKV,emptyfail
REE.L,REE.L,emptyfail
TSAGX,TSAGX,emptyfail
MARB,MARB,emptyfail
KBRA.V,KBRA.V,emptyfail
RSHO,RSHO,emptyfail
MSDD,MSDD,emptyfail
ETRL,ETRL,emptyfail
BULX,BULX,emptyfail
PPIE,PPIE,emptyfail
SCLS,SCLS,emptyfail
PCRB,PCRB,emptyfail
FEAT,FEAT,emptyfail
DISO,DISO,emptyfail
ZBBB.TO,ZBBB.TO,emptyfail
TRAD.ST,TRAD.ST,emptyfail
ABNY,ABNY,emptyfail
FIVY,FIVY,emptyfail
HSPTR,HSPTR,emptyfail
SMQ,SMQ,emptyfail
MLAC,MLAC,emptyfail
VACHU,VACHU,emptyfail
BREZU,BREZU,emptyfail
CMT.CN,CMT.CN,emptyfail
MLACR,MLACR,emptyfail
APURU,APURU,emptyfail
MLACU,MLACU,emptyfail
MAHA-A.ST,MAHA-A.ST,emptyfail
PHYD,PHYD,emptyfail
PFUT,PFUT,emptyfail
PLDR,PLDR,emptyfail
PLTI,PLTI,emptyfail
HOII,HOII,emptyfail
8552.HK,8552.HK,emptyfail
LLII,LLII,emptyfail
PPEM,PPEM,emptyfail
COII,COII,emptyfail
PULT,PULT,emptyfail
CWII,CWII,emptyfail
MSII,MSII,emptyfail
OCTVV,OCTVV,emptyfail
STRV,STRV,emptyfail
BU,BU,emptyfail
WISD,WISD,emptyfail
FPIP.ST,FPIP.ST,emptyfail
AGGI,AGGI,emptyfail
MHG.AX,MHG.AX,emptyfail
GSIG,GSIG,emptyfail
GMUN,GMUN,emptyfail
MBCC,MBCC,emptyfail
WOODSVILA.BO,WOODSVILA.BO,emptyfail
SLTTF,SLTTF,emptyfail
83128.HK,83128.HK,emptyfail
GHBWF,GHBWF,emptyfail
GBE3.MI,GBE3.MI,emptyfail
CA,CA,emptyfail
BTOP,BTOP,emptyfail
LRGR,LRGR,emptyfail
BWEB,BWEB,emptyfail
ENX.AX,ENX.AX,emptyfail
IINNW,IINNW,emptyfail
XHYF,XHYF,emptyfail
XHYT,XHYT,emptyfail
XHYE,XHYE,emptyfail
XHYD,XHYD,emptyfail
XHYC,XHYC,emptyfail
APADR,APADR,emptyfail
KSM.AX,KSM.AX,emptyfail
ETHMW,ETHMW,emptyfail
NTHD,NTHD,emptyfail
SZNE,SZNE,emptyfail
LQIG,LQIG,emptyfail
ESIX,ESIX,emptyfail
NZUS,NZUS,emptyfail
MBNE,MBNE,emptyfail
GBEU.MI,GBEU.MI,emptyfail
LEVIX,LEVIX,emptyfail
LEVOX,LEVOX,emptyfail
RLUEX,RLUEX,emptyfail
HYRM,HYRM,emptyfail
EKSO,EKSO,emptyfail
DWT,DWT,emptyfail
XRPK,XRPK,emptyfail
SOLX,SOLX,emptyfail
SIXG,SIXG,emptyfail
EATZ,EATZ,emptyfail
QUVU,QUVU,emptyfail
MIGI,MIGI,emptyfail
PRIF-PJ,PRIF-PJ,emptyfail
